Date,Site,Plot,DOC_Final,TDN_Final,Biomass_C_final,Biomass_N_final,NO3-,NH4+,DIN,DON,ug PO43- P g-1 dry,Soil moisture (%),Slope_1m_Percent,Slope_10m_Percent_Aggreg_Mean,Slope_1m_Degree,Slope_10m_Degree_Aggreg_Mean,Aspect_1m,Aspect_10m_Degree_Aggreg_Mean
20130704,UMC,1,478.7227001,98.31750295,509.0224972,0,4.794240423,8.869525552,13.66376597,84.65373698,0.961118185,6.586826347,18.8,17.5,10.6,9.9,357.7,352.4
20130704,UMC,2,384.4590399,80.73416315,589.2353346,28.85286661,0.838618148,45.10462839,45.94324654,34.79091661,7.756384777,1.397205589,17.8,16.0,10.1,9.1,356.8,339.9
20130704,UMC,3,329.6649646,51.91370071,834.0769288,71.90838346,23.63273347,26.00408364,49.63681711,2.276883599,8.403397014,14.8,21.7,16.6,12.3,9.4,325.3,345.9
20130704,UMC,4,240.1619552,59.22691286,337.1264781,17.4006486,2.110484957,40.50500487,42.61548983,16.61142303,9.398885161,0.8,12.7,14.6,7.2,8.3,327.9,347.0
20130704,UMC,5,223.4505118,78.21862632,143.9351233,5.740948502,33.26924698,34.52447248,67.79371946,10.42490686,7.788990857,4.373757455,12.7,14.7,7.2,8.4,10.2,9.3
20130704,UMC,6,200.052663,30.85317663,139.0720635,6.413666478,0.605517661,22.2139008,22.81941846,8.033758174,2.203939339,0.2,20.1,16.0,11.4,9.1,1.8,1.9
20130704,UMC,7,410.9746169,149.7259527,247.3449106,15.70928009,82.74183084,42.52814578,125.2699766,24.4559761,14.02976484,0.399201597,18.5,16.6,10.5,9.5,6.6,8.4
20130704,UMC,8,243.0819547,50.96923787,112.4150249,6.478443502,9.555387191,23.05323167,32.60861886,18.36061901,9.352587803,2.4,13.4,17.9,7.6,10.1,357.3,1.9
20130704,UMC,9,307.5266184,38.65034187,1248.787468,51.88403426,8.330030912,12.70837613,21.03840705,17.61193482,1.665338215,2,29.5,24.9,16.5,14.0,137.1,158.7
20130704,UMC,10,100.3748539,12.11132699,453.8785571,27.60965392,1.316632817,3.544594667,4.861227484,7.250099506,-0.448035604,0.8,27.1,21.2,15.1,12.0,137.2,142.1
20130704,UMC,11,279.5678182,21.38689554,856.8681635,58.67876221,1.202954455,6.600028779,7.802983234,13.58391231,-0.153192689,11.17764471,22.9,12.8,12.9,7.3,26.6,17.0
20130704,UMC,12,209.6172699,24.28042086,784.708244,44.49930917,0.310258281,9.376529125,9.686787406,14.59363345,1.309578302,8.8,12.2,18.5,6.9,10.5,342.7,4.8
20130704,UMC,13,723.6559,46.95958319,792.855656,47.93774668,0.031523458,15.16432891,15.19585237,31.76373082,2.045883558,7.4,11.9,15.7,6.8,8.9,33.0,16.9
20130704,UMC,14,152.8450123,14.80894222,516.0381241,43.30707643,3.397948543,49.4446496,52.84259814,0,0.538175823,4.6,24.2,15.5,13.6,8.8,23.1,19.9
20130704,UMC,15,190.8732731,71.45773308,180.0699922,10.17294672,0,6.236927228,6.236927228,65.22080586,0.097024121,1.4,6.9,6.5,4.0,3.7,5.2,358.2
20130704,UMC,16,307.4736471,58.53717758,338.9924832,8.647763317,0.679318889,36.28627078,36.96558967,21.57158791,2.014212978,1,7.5,8.7,4.3,5.0,330.0,1.2
20130810,UMC,1,210.7897338,27.71733645,189.832854,15.01475356,0.683997727,5.143830697,5.827828424,21.88950802,3.904652112,15.7480315,18.8,17.5,10.6,9.9,357.7,352.4
20130810,UMC,2,642.9344546,130.8913193,443.380715,0,0.86089969,65.63803947,66.49893916,64.39238014,23.15128087,5.68627451,17.8,16.0,10.1,9.1,356.8,339.9
20130810,UMC,3,183.3249538,41.62773093,396.2096304,36.0845401,6.956928194,17.08444983,24.04137802,17.5863529,3.694160661,27.83300199,21.7,16.6,12.3,9.4,325.3,345.9
20130810,UMC,4,240.1066685,70.35491444,930.3388029,0,2.421290399,39.45739004,41.87868044,28.476234,6.398079575,3.373015873,12.7,14.6,7.2,8.3,327.9,347.0
20130810,UMC,5,135.0400901,51.35098194,188.8661104,0,20.50298079,15.99568875,36.49866954,14.8523124,10.86299536,12.13872832,12.7,14.7,7.2,8.4,10.2,9.3
20130810,UMC,6,303.5867022,55.57652892,68.4629026,0,0.517032762,27.09390397,27.61093673,27.96559218,2.645422201,7.003891051,20.1,16.0,11.4,9.1,1.8,1.9
20130810,UMC,7,264.5608357,126.6742406,88.76361179,0,95.03801665,30.00226507,125.0402817,1.633958851,22.72841481,4.142011834,18.5,16.6,10.5,9.5,6.6,8.4
20130810,UMC,8,191.331576,67.66813817,262.2461534,0,9.051525343,27.81789031,36.86941566,30.79872252,10.73237112,8.661417323,13.4,17.9,7.6,10.1,357.3,1.9
20130810,UMC,9,192.7827214,24.70090017,307.4811837,23.05252254,3.711130475,3.949912968,7.661043443,17.03985673,0.14274475,6.349206349,29.5,24.9,16.5,14.0,137.1,158.7
20130810,UMC,10,93.64889516,15.51392491,243.3829376,22.15263731,0.878796983,4.794440058,5.673237041,9.840687865,-0.470702105,6.395348837,27.1,21.2,15.1,12.0,137.2,142.1
20130810,UMC,11,78.58914265,0.832335934,306.3466667,36.35743268,0,3.628604032,3.628604032,0,-0.314914133,20.9486166,22.9,12.8,12.9,7.3,26.6,17.0
20130810,UMC,12,174.8266075,6.424197924,388.3595133,40.60324564,0.018963255,4.909429704,4.928392959,1.495804965,0.534011282,22.4,12.2,18.5,6.9,10.5,342.7,4.8
20130810,UMC,13,97.53071114,0,310.566801,37.43848754,0,4.100748472,4.100748472,0,-0.327581524,10.75697211,11.9,15.7,6.8,8.9,33.0,16.9
20130810,UMC,14,210.2940122,10.25511248,326.1797689,31.70666147,0,6.498628162,6.498628162,3.756484314,0.710481874,13.61867704,24.2,15.5,13.6,8.8,23.1,19.9
20130810,UMC,15,158.4586664,63.35249576,154.9377428,3.432826196,7.928525694,45.4711644,53.39969009,9.952805665,3.562804275,0.779727096,6.9,6.5,4.0,3.7,5.2,358.2
20130810,UMC,16,182.8679291,49.34581644,139.0576838,1.237085791,1.529303404,32.2852605,33.8145639,15.53125253,0.697535714,3.8,7.5,8.7,4.3,5.0,330.0,1.2
20130721,LSP,17,230.8182178,38.25024487,502.0811943,34.05760824,35.64256593,3.396696175,39.03926211,0,0.78411291,20.91633466,32.9,30.3,18.2,16.9,200.9,213.8
20130721,LSP,18,893.7400999,63.85389154,436.8403926,47.24154801,3.311622563,23.54352993,26.85515249,36.99873905,2.125946798,11.35029354,19.5,27.3,11.0,15.3,195.7,214.7
20130721,LSP,19,123.4365113,6.545159747,305.3780028,45.29624658,3.114519315,6.765715568,9.880234883,0,-0.136064699,12.09213052,32.0,32.6,17.7,18.0,235.5,232.5
20130721,LSP,20,85.88438848,16.6158395,580.1035098,50.43184717,16.00111491,5.883865864,21.88498077,0,0.782484435,8.0078125,29.3,28.5,16.3,15.9,219.1,219.8
20130721,LSP,21,205.5479593,19.92802468,1362.975236,65.11646221,11.50014368,13.02895172,24.5290954,0,2.369752165,21.4,24.4,22.2,13.7,12.5,200.1,217.4
20130721,LSP,22,113.8596647,6.877036442,598.156218,37.94311085,3.292805886,6.572602722,9.865408608,0,0.303441334,8.447937132,25.3,25.2,14.2,14.1,251.6,251.5
20130721,LSP,23,343.6122922,29.35360657,840.8617241,54.36251773,7.834040031,16.94083739,24.77487742,4.578729153,0.695530367,15.8,25.0,24.4,14.0,13.7,240.6,248.4
20130721,LSP,24,85.11016639,11.42459166,664.8823641,57.14133746,1.459832875,5.644720559,7.104553434,4.320038222,-0.30122253,17.12062257,30.5,29.8,16.9,16.6,246.8,247.6
20130721,LSP,25,137.2906228,35.05109508,557.7942129,82.75321632,16.5858733,25.57928017,42.16515347,0,0.53305695,8.383233533,42.1,37.2,22.8,20.4,248.0,253.9
20130721,LSP,26,292.7295221,25.88872788,1190.768765,81.18984617,8.587400705,15.27088681,23.85828751,2.030440366,1.622130095,9.8,22.0,25.7,12.4,14.4,271.9,243.9
20130721,LSP,27,342.2241077,117.5169823,303.4082762,17.58068355,37.54683551,35.41545366,72.96228917,44.5546931,8.400834112,9.819639279,44.8,35.6,24.2,19.6,321.6,322.4
20130721,LSP,28,106.7917695,42.8648301,421.9586165,0,9.846746859,22.53904774,32.3857946,10.4790355,4.307515122,2.19123506,12.8,31.5,7.3,17.5,347.6,327.3
20130721,LSP,29,165.2970719,83.29411474,0,0,19.68992643,36.49220886,56.18213529,27.11197945,0.343643122,0.998003992,39.5,36.1,21.6,19.9,306.5,326.1
20130721,LSP,30,277.5822984,80.07924054,497.2018171,9.217557356,53.73815015,26.71491294,80.45306309,0,10.47975546,17.8,42.0,38.8,22.8,21.2,327.4,320.5
20130721,LSP,31,153.3612713,82.86281902,182.7085319,0,24.6475657,45.68492585,70.33249155,12.53032747,8.950073118,1.8,26.0,36.2,14.6,19.9,324.8,321.1
20130721,LSP,32,628.6210261,143.7262653,180.2550522,0,40.19620414,69.23378786,109.429992,34.29627329,8.463379325,9.233791749,47.6,42.9,25.4,23.2,313.5,314.1
20130721,LSP,33,367.4912949,86.8727085,259.4479823,0,24.97369724,19.72746589,44.70116313,42.17154536,1.593997657,19.16996047,40.2,40.8,21.9,22.2,311.2,309.5
20130721,LSP,34,183.689583,74.95604065,162.2218266,4.665479033,22.63711291,43.26234276,65.89945567,9.056584981,1.123995929,1.176470588,45.3,45.1,24.4,24.3,311.9,311.0
20130721,LSP,35,82.34851711,23.45974776,314.9724732,18.44747108,3.940993042,14.83363916,18.7746322,4.685115558,1.28777974,3.585657371,41.4,41.0,22.5,22.3,303.2,317.6
20130721,LSP,36,393.5528764,116.5595478,651.6560491,0,17.17241745,55.04847459,72.22089204,44.33865577,5.663297797,9.578544061,33.0,36.7,18.3,20.2,320.2,322.0
20130804,SPR,37,214.4299747,44.23150836,538.7764771,21.71473844,29.18347178,2.630711649,31.81418343,12.41732493,31.2552046,21.25984252,19.4,23.1,11.0,13.0,335.3,331.9
20130804,SPR,38,209.697633,20.57475292,782.0459191,27.0825738,5.152570282,6.561519099,11.71408938,8.860663541,4.253263403,36.72654691,29.3,31.3,16.3,17.4,320.9,316.6
20130804,SPR,39,193.8347131,23.33686962,830.0695907,1.697960824,0.692706224,4.242005704,4.934711928,18.40215769,3.840793191,5.394990366,15.4,19.1,8.7,10.8,313.0,341.6
20130804,SPR,40,172.7740841,18.75720021,331.390419,17.96780881,1.229583051,3.948104122,5.177687173,13.57951304,0.481418514,2.935420744,25.8,23.8,14.5,13.4,321.3,314.6
20130804,SPR,41,343.4620182,34.80430739,979.6052471,28.6720306,4.289101669,18.43706794,22.72616961,12.07813778,14.22105459,11.17764471,27.7,27.4,15.5,15.3,334.4,323.7
20130804,SPR,42,405.1506047,59.8343129,988.5728457,72.95319787,11.7580979,16.74964544,28.50774334,31.32656956,14.17777424,7.584830339,23.6,31.2,13.3,17.3,326.2,325.1
20130804,SPR,43,340.0473108,47.21765316,879.8031495,3.458616434,4.253797246,13.79957129,18.05336854,29.16428463,45.09525673,17.58893281,28.4,29.8,15.8,16.6,311.1,317.5
20130804,SPR,44,305.1255799,84.86831243,901.7833362,15.30639233,4.42490124,44.24531154,48.67021278,36.19809965,12.50320136,3.578528827,15.9,24.3,9.0,13.6,307.9,323.4
20130804,SPR,45,245.6497705,23.94532832,490.0197241,12.21574067,0.742244877,9.979891612,10.72213649,13.22319183,4.60448362,12.99212598,26.6,24.3,14.9,13.6,326.9,323.4
20130804,SPR,46,146.7431992,43.84605031,493.1698443,28.08869715,18.25523696,28.49745612,46.75269308,0,21.51432772,13.63636364,21.8,21.6,12.3,12.2,326.2,320.5
20130804,SPR,47,321.9511237,66.33249794,680.5587953,0,21.1495869,6.91807182,28.06765872,38.26483922,10.42824092,24.6,18.8,25.9,10.7,14.5,319.9,329.8
20130804,SPR,48,183.6416083,69.44958357,71.62036723,0,14.91899583,14.40343093,29.32242676,40.12715682,22.02610488,3.149606299,19.9,20.9,11.3,11.8,327.3,331.6
20130804,SPR,49,303.1122646,21.84828008,343.1017454,16.3903497,1.959209028,11.26748776,13.22669679,8.621583289,1.6584758,12.6984127,4.3,10.7,2.5,6.1,10.0,332.8
20130804,SPR,50,1236.080874,148.2298012,865.2512991,0,7.609616731,44.86534766,52.47496439,95.75483686,48.43214906,15.15748031,5.7,10.7,3.3,6.1,8.9,332.8
20130804,SPR,51,541.7079022,102.3441664,955.0693727,23.36769213,4.842589955,90.41419023,95.25678019,7.087386238,44.74354575,19.8,6.9,9.5,4.0,5.4,320.8,332.1
20130804,SPR,52,173.1890125,17.17235156,193.0061371,16.82412645,2.297855159,8.009435751,10.30729091,6.865060645,0.05801126,7.543520309,38.5,27.3,21.1,15.2,329.6,327.9
20130804,SPR,53,629.1487512,65.87375375,1778.913275,48.98354747,11.27665836,19.61834383,30.89500219,34.97875156,24.8596988,2.923976608,9.3,9.5,5.3,5.4,329.3,332.1
20130804,SPR,54,247.7056843,86.33042065,270.6386993,0,1.122953808,54.16208061,55.28503442,31.04538623,35.16759093,1.593625498,1.3,4.2,0.8,2.4,291.8,334.3
20130804,SPR,55,108.2884472,38.54271793,409.6414531,25.50295073,5.0144252,28.69814605,33.71257125,4.830146684,4.227180016,5.620155039,23.8,21.6,13.4,12.2,326.1,323.8
20130804,SPR,56,296.3405085,97.74869839,498.0994363,29.80204083,19.16275387,51.00893823,70.1716921,27.57700629,18.51703194,2.554027505,48.5,28.7,25.9,16.0,341.2,322.5
